"abbreviation"	"machine_readable_name"	"name"	"description"	"group"	"subgroup"	"unit"
"1"	"Total-C"	"Total_C"	"Total-C"	"Total cholesterol"	"Cholesterol"	"Cholesterol"	"mmol/l"
"2"	"VLDL-C"	"VLDL_C"	"VLDL-C"	"VLDL cholesterol"	"Cholesterol"	"Cholesterol"	"mmol/l"
"3"	"Remnant-C"	"Remnant_C"	"Remnant-C"	"Remnant cholesterol (non-HDL, non-LDL -cholesterol)"	"Cholesterol"	"Cholesterol"	"mmol/l"
"4"	"LDL-C"	"LDL_C"	"LDL-C"	"LDL cholesterol"	"Cholesterol"	"Cholesterol"	"mmol/l"
"5"	"HDL-C"	"HDL_C"	"HDL-C"	"HDL cholesterol"	"Cholesterol"	"Cholesterol"	"mmol/l"
"6"	"HDL2-C"	"HDL2_C"	"HDL2-C"	"HDL2 cholesterol"	"Cholesterol"	"Cholesterol"	"mmol/l"
"7"	"HDL3-C"	"HDL3_C"	"HDL3-C"	"HDL3 cholesterol"	"Cholesterol"	"Cholesterol"	"mmol/l"
"8"	"Esterified-C"	"Esterified_C"	"Esterified-C"	"Total esterified cholesterol"	"Cholesterol"	"Cholesterol"	"mmol/l"
"9"	"Free-C"	"Free_C"	"Free-C"	"Total free cholesterol"	"Cholesterol"	"Cholesterol"	"mmol/l"
"10"	"Total-TG"	"Total_TG"	"Total triglycerides"	"Total triglycerides"	"Glycerides and phospholipids"	"Glycerides and phospholipids"	"mmol/l"
"11"	"VLDL-TG"	"VLDL_TG"	"VLDL-TG"	"Triglycerides in VLDL"	"Glycerides and phospholipids"	"Glycerides and phospholipids"	"mmol/l"
"12"	"LDL-TG"	"LDL_TG"	"LDL-TG"	"Triglycerides in LDL"	"Glycerides and phospholipids"	"Glycerides and phospholipids"	"mmol/l"
"13"	"HDL-TG"	"HDL_TG"	"HDL-TG"	"Triglycerides in HDL"	"Glycerides and phospholipids"	"Glycerides and phospholipids"	"mmol/l"
"14"	"Phosphoglyc"	"Phosphoglyc"	"Phosphoglycerides"	"Phosphoglycerides"	"Glycerides and phospholipids"	"Glycerides and phospholipids"	"mmol/l"
"15"	"TG/PG"	"TG_by_PG"	"TG/PG"	"Ratio of triglycerides to phosphoglycerides"	"Glycerides and phospholipids"	"Glycerides and phospholipids"	"ratio"
"16"	"Cholines"	"Cholines"	"Total cholines"	"Total cholines"	"Glycerides and phospholipids"	"Glycerides and phospholipids"	"mmol/l"
"17"	"Phosphatidylc"	"Phosphatidylc"	"Phosphatidylcholines"	"Phosphatidylcholines"	"Glycerides and phospholipids"	"Glycerides and phospholipids"	"mmol/l"
"18"	"Sphingomyelins"	"Sphingomyelins"	"Sphingomyelins"	"Sphingomyelins"	"Glycerides and phospholipids"	"Glycerides and phospholipids"	"mmol/l"
"19"	"ApoB"	"ApoB"	"ApoB"	"Apolipoprotein B"	"Apolipoproteins"	"Apolipoproteins"	"g/l"
"20"	"ApoA1"	"ApoA1"	"ApoA1"	"Apolipoprotein A1"	"Apolipoproteins"	"Apolipoproteins"	"g/l"
"21"	"ApoB/ApoA1"	"ApoB_by_ApoA1"	"ApoB/ApoA1"	"Ratio of apolipoprotein B to apolipoprotein A1"	"Apolipoproteins"	"Apolipoproteins"	"ratio"
"22"	"Total-FA"	"Total_FA"	"Total fatty acids"	"Total fatty acids"	"Fatty acids"	"Fatty acids"	"mmol/l"
"23"	"Unsaturation"	"Unsaturation"	"Unsaturation"	"Degree of unsaturation"	"Fatty acids"	"Fatty acids"	"degree"
"24"	"Omega-3"	"Omega_3"	"Omega-3"	"Omega-3 fatty acids"	"Fatty acids"	"Fatty acids"	"mmol/l"
"25"	"Omega-6"	"Omega_6"	"Omega-6"	"Omega-6 fatty acids"	"Fatty acids"	"Fatty acids"	"mmol/l"
"26"	"PUFA"	"PUFA"	"PUFA"	"Polyunsaturated fatty acids"	"Fatty acids"	"Fatty acids"	"mmol/l"
"27"	"MUFA"	"MUFA"	"MUFA"	"Monounsaturated fatty acids"	"Fatty acids"	"Fatty acids"	"mmol/l"
"28"	"SFA"	"SFA"	"SFA"	"Saturated fatty acids"	"Fatty acids"	"Fatty acids"	"mmol/l"
"29"	"LA"	"LA"	"LA"	"Linoleic acid"	"Fatty acids"	"Fatty acids"	"mmol/l"
"30"	"DHA"	"DHA"	"DHA"	"Docosahexaenoic acid"	"Fatty acids"	"Fatty acids"	"mmol/l"
"31"	"Omega-3 %"	"Omega_3_pct"	"Omega-3 %"	"Ratio of omega-3 fatty acids to total fatty acids"	"Fatty acids"	"Fatty acid ratios"	"%"
"32"	"Omega-6 %"	"Omega_6_pct"	"Omega-6 %"	"Ratio of omega-6 fatty acids to total fatty acids"	"Fatty acids"	"Fatty acid ratios"	"%"
"33"	"PUFA %"	"PUFA_pct"	"PUFA %"	"Ratio of polyunsaturated fatty acids to total fatty acids"	"Fatty acids"	"Fatty acid ratios"	"%"
"34"	"MUFA %"	"MUFA_pct"	"MUFA %"	"Ratio of monounsaturated fatty acids to total fatty acids"	"Fatty acids"	"Fatty acid ratios"	"%"
"35"	"SFA %"	"SFA_pct"	"SFA %"	"Ratio of saturated fatty acids to total fatty acids"	"Fatty acids"	"Fatty acid ratios"	"%"
"36"	"LA %"	"LA_pct"	"LA %"	"Ratio of linoleic acid to total fatty acids"	"Fatty acids"	"Fatty acid ratios"	"%"
"37"	"DHA %"	"DHA_pct"	"DHA %"	"Ratio of docosahexaenoic acid to total fatty acids"	"Fatty acids"	"Fatty acid ratios"	"%"
"38"	"Ala"	"Ala"	"Alanine"	"Alanine"	"Amino acids"	"Amino acids"	"mmol/l"
"39"	"Gln"	"Gln"	"Glutamine"	"Glutamine"	"Amino acids"	"Amino acids"	"mmol/l"
"40"	"Gly"	"Gly"	"Glycine"	"Glycine"	"Amino acids"	"Amino acids"	"mmol/l"
"41"	"His"	"His"	"Histidine"	"Histidine"	"Amino acids"	"Amino acids"	"mmol/l"
"42"	"Ile"	"Ile"	"Isoleucine"	"Isoleucine"	"Amino acids"	"Branched-chain amino acids"	"mmol/l"
"43"	"Leu"	"Leu"	"Leucine"	"Leucine"	"Amino acids"	"Branched-chain amino acids"	"mmol/l"
"44"	"Val"	"Val"	"Valine"	"Valine"	"Amino acids"	"Branched-chain amino acids"	"mmol/l"
"45"	"Phe"	"Phe"	"Phenylalanine"	"Phenylalanine"	"Amino acids"	"Aromatic amino acids"	"mmol/l"
"46"	"Tyr"	"Tyr"	"Tyrosine"	"Tyrosine"	"Amino acids"	"Aromatic amino acids"	"mmol/l"
"47"	"Glucose"	"Glucose"	"Glucose"	"Glucose"	"Glycolysis related metabolites"	"Glycolysis related metabolites"	"mmol/l"
"48"	"Lactate"	"Lactate"	"Lactate"	"Lactate"	"Glycolysis related metabolites"	"Glycolysis related metabolites"	"mmol/l"
"49"	"Pyruvate"	"Pyruvate"	"Pyruvate"	"Pyruvate"	"Glycolysis related metabolites"	"Glycolysis related metabolites"	"mmol/l"
"50"	"Citrate"	"Citrate"	"Citrate"	"Citrate"	"Glycolysis related metabolites"	"Glycolysis related metabolites"	"mmol/l"
"51"	"Glycerol"	"Glycerol"	"Glycerol"	"Glycerol"	"Glycolysis related metabolites"	"Glycolysis related metabolites"	"mmol/l"
"52"	"Acetate"	"Acetate"	"Acetate"	"Acetate"	"Ketone bodies"	"Ketone bodies"	"mmol/l"
"53"	"Acetoacetate"	"Acetoacetate"	"Acetoacetate"	"Acetoacetate"	"Ketone bodies"	"Ketone bodies"	"mmol/l"
"54"	"bOHbutyrate"	"bOHbutyrate"	"3-hydroxybutyrate"	"Beta-hydroxybutyrate"	"Ketone bodies"	"Ketone bodies"	"mmol/l"
"55"	"Creatinine"	"Creatinine"	"Creatinine"	"Creatinine"	"Fluid balance"	"Fluid balance"	"mmol/l"
"56"	"Albumin"	"Albumin"	"Albumin"	"Albumin"	"Fluid balance"	"Fluid balance"	"signal area"
"57"	"GlycA"	"GlycA"	"Glycoprotein acetyls"	"Glycoprotein acetyls"	"Inflammation"	"Inflammation"	"mmol/l"
"58"	"XXL-VLDL-P"	"XXL_VLDL_P"	"XXL-VLDL-P"	"Concentration of chylomicrons and extremely large VLDL particles"	"Lipoprotein subclasses"	"Chylomicrons and extremely large VLDL"	"mol/l"
"59"	"XXL-VLDL-L"	"XXL_VLDL_L"	"XXL-VLDL-L"	"Total lipids in chylomicrons and extremely large VLDL"	"Lipoprotein subclasses"	"Chylomicrons and extremely large VLDL"	"mmol/l"
"60"	"XXL-VLDL-PL"	"XXL_VLDL_PL"	"XXL-VLDL-PL"	"Phospholipids in chylomicrons and extremely large VLDL"	"Lipoprotein subclasses"	"Chylomicrons and extremely large VLDL"	"mmol/l"
"61"	"XXL-VLDL-C"	"XXL_VLDL_C"	"XXL-VLDL-C"	"Cholesterol in chylomicrons and extremely large VLDL"	"Lipoprotein subclasses"	"Chylomicrons and extremely large VLDL"	"mmol/l"
"62"	"XXL-VLDL-CE"	"XXL_VLDL_CE"	"XXL-VLDL-CE"	"Cholesteryl esters in chylomicrons and extremely large VLDL"	"Lipoprotein subclasses"	"Chylomicrons and extremely large VLDL"	"mmol/l"
"63"	"XXL-VLDL-FC"	"XXL_VLDL_FC"	"XXL-VLDL-FC"	"Free cholesterol in chylomicrons and extremely large VLDL"	"Lipoprotein subclasses"	"Chylomicrons and extremely large VLDL"	"mmol/l"
"64"	"XXL-VLDL-TG"	"XXL_VLDL_TG"	"XXL-VLDL-TG"	"Triglycerides in chylomicrons and extremely large VLDL"	"Lipoprotein subclasses"	"Chylomicrons and extremely large VLDL"	"mmol/l"
"65"	"XL-VLDL-P"	"XL_VLDL_P"	"XL-VLDL-P"	"Concentration of very large VLDL particles"	"Lipoprotein subclasses"	"Very large VLDL"	"mol/l"
"66"	"XL-VLDL-L"	"XL_VLDL_L"	"XL-VLDL-L"	"Total lipids in very large VLDL"	"Lipoprotein subclasses"	"Very large VLDL"	"mmol/l"
"67"	"XL-VLDL-PL"	"XL_VLDL_PL"	"XL-VLDL-PL"	"Phospholipids in very large VLDL"	"Lipoprotein subclasses"	"Very large VLDL"	"mmol/l"
"68"	"XL-VLDL-C"	"XL_VLDL_C"	"XL-VLDL-C"	"Cholesterol in very large VLDL"	"Lipoprotein subclasses"	"Very large VLDL"	"mmol/l"
"69"	"XL-VLDL-CE"	"XL_VLDL_CE"	"XL-VLDL-CE"	"Cholesteryl esters in very large VLDL"	"Lipoprotein subclasses"	"Very large VLDL"	"mmol/l"
"70"	"XL-VLDL-FC"	"XL_VLDL_FC"	"XL-VLDL-FC"	"Free cholesterol in very large VLDL"	"Lipoprotein subclasses"	"Very large VLDL"	"mmol/l"
"71"	"XL-VLDL-TG"	"XL_VLDL_TG"	"XL-VLDL-TG"	"Triglycerides in very large VLDL"	"Lipoprotein subclasses"	"Very large VLDL"	"mmol/l"
"72"	"L-VLDL-P"	"L_VLDL_P"	"L-VLDL-P"	"Concentration of large VLDL particles"	"Lipoprotein subclasses"	"Large VLDL"	"mol/l"
"73"	"L-VLDL-L"	"L_VLDL_L"	"L-VLDL-L"	"Total lipids in large VLDL"	"Lipoprotein subclasses"	"Large VLDL"	"mmol/l"
"74"	"L-VLDL-PL"	"L_VLDL_PL"	"L-VLDL-PL"	"Phospholipids in large VLDL"	"Lipoprotein subclasses"	"Large VLDL"	"mmol/l"
"75"	"L-VLDL-C"	"L_VLDL_C"	"L-VLDL-C"	"Cholesterol in large VLDL"	"Lipoprotein subclasses"	"Large VLDL"	"mmol/l"
"76"	"L-VLDL-CE"	"L_VLDL_CE"	"L-VLDL-CE"	"Cholesteryl esters in large VLDL"	"Lipoprotein subclasses"	"Large VLDL"	"mmol/l"
"77"	"L-VLDL-FC"	"L_VLDL_FC"	"L-VLDL-FC"	"Free cholesterol in large VLDL"	"Lipoprotein subclasses"	"Large VLDL"	"mmol/l"
"78"	"L-VLDL-TG"	"L_VLDL_TG"	"L-VLDL-TG"	"Triglycerides in large VLDL"	"Lipoprotein subclasses"	"Large VLDL"	"mmol/l"
"79"	"M-VLDL-P"	"M_VLDL_P"	"M-VLDL-P"	"Concentration of medium VLDL particles"	"Lipoprotein subclasses"	"Medium VLDL"	"mol/l"
"80"	"M-VLDL-L"	"M_VLDL_L"	"M-VLDL-L"	"Total lipids in medium VLDL"	"Lipoprotein subclasses"	"Medium VLDL"	"mmol/l"
"81"	"M-VLDL-PL"	"M_VLDL_PL"	"M-VLDL-PL"	"Phospholipids in medium VLDL"	"Lipoprotein subclasses"	"Medium VLDL"	"mmol/l"
"82"	"M-VLDL-C"	"M_VLDL_C"	"M-VLDL-C"	"Cholesterol in medium VLDL"	"Lipoprotein subclasses"	"Medium VLDL"	"mmol/l"
"83"	"M-VLDL-CE"	"M_VLDL_CE"	"M-VLDL-CE"	"Cholesteryl esters in medium VLDL"	"Lipoprotein subclasses"	"Medium VLDL"	"mmol/l"
"84"	"M-VLDL-FC"	"M_VLDL_FC"	"M-VLDL-FC"	"Free cholesterol in medium VLDL"	"Lipoprotein subclasses"	"Medium VLDL"	"mmol/l"
"85"	"M-VLDL-TG"	"M_VLDL_TG"	"M-VLDL-TG"	"Triglycerides in medium VLDL"	"Lipoprotein subclasses"	"Medium VLDL"	"mmol/l"
"86"	"S-VLDL-P"	"S_VLDL_P"	"S-VLDL-P"	"Concentration of small VLDL particles"	"Lipoprotein subclasses"	"Small VLDL"	"mol/l"
"87"	"S-VLDL-L"	"S_VLDL_L"	"S-VLDL-L"	"Total lipids in small VLDL"	"Lipoprotein subclasses"	"Small VLDL"	"mmol/l"
"88"	"S-VLDL-PL"	"S_VLDL_PL"	"S-VLDL-PL"	"Phospholipids in small VLDL"	"Lipoprotein subclasses"	"Small VLDL"	"mmol/l"
